d,English,German,Russian
SUBTITLE_FemaleConditionVeryThirsty2,"Surrounded by snow, and nothing to drink...",,
SUBTITLE_FemaleConditionVeryThirsty3,I'd eat snow if the hypothermia wouldn't kill me.,,
SUBTITLE_FemaleConditionVeryThirsty4,That guy who drank his own pee doesn't seem so crazy right now...,,
SUBTITLE_FemaleConditionVeryThirsty5,I would do anything for a drink right now.,,
SUBTITLE_FemaleConditionVeryThirsty6,"Man, I could use a drink.",,
SUBTITLE_FemaleConditionVeryThirsty7,Getting a bit thirsty.,,
SUBTITLE_FemaleDeathScream1,[Scream],,
SUBTITLE_FemaleDeathScream2,[Scream],,
SUBTITLE_FemaleDeathScream3,[Scream],,
SUBTITLE_FemaleDie1,[Moan],,
SUBTITLE_FemaleDie2,[Moan],,
SUBTITLE_FemaleDie3,[Moan],,
SUBTITLE_FemaleDie4,[Moan],,
SUBTITLE_FemaleDysentery1,Oh this is a shitty way to die...,,
SUBTITLE_FemaleDysentery2,Oh man...of all the ways to die...this is the worst...,,
SUBTITLE_FemaleDysentery3,Oh boy...it feels like my stomach is burning...,,
SUBTITLE_FemaleExertionHigh1,[Heavy exertion grunt],,
SUBTITLE_FemaleExertionHigh2,[Heavy exertion grunt],,
SUBTITLE_FemaleExertionHigh3,[Heavy exertion grunt],,
SUBTITLE_FemaleExertionHigh4,[Heavy exertion grunt],,
SUBTITLE_FemaleExertionLow1,[Light exertion grunt],,
SUBTITLE_FemaleExertionLow2,[Light exertion grunt],,
SUBTITLE_FemaleExertionLow3,[Light exertion grunt],,
SUBTITLE_FemaleExertionLow4,[Light exertion grunt],,
SUBTITLE_FemaleExertionMedium1,[Moderate exertion grunt],,
SUBTITLE_FemaleExertionMedium2,[Moderate exertion grunt],,
SUBTITLE_FemaleExertionMedium3,[Moderate exertion grunt],,
SUBTITLE_FemaleExertionMedium4,[Moderate exertion grunt],,
SUBTITLE_FemaleFailFire1,Come on little fire...,,
SUBTITLE_FemaleFailFire2,Don't do this to me.,,
SUBTITLE_FemaleFailFire3,Come on! Are you serious?,,
SUBTITLE_FemaleFailGeneral1,Damn it.,,
SUBTITLE_FemaleFailGeneral2,That didn't work.,,
SUBTITLE_FemaleFailGeneral3,Why didn't that work?,,
SUBTITLE_FemaleFailGeneral4,Come on...come on...,,
SUBTITLE_FemaleFailGeneral5,Oh come on...,,
SUBTITLE_FemaleFoodPoisoning1,Ooooohh...I feel like I'm going to die...,,
SUBTITLE_FemaleFoodPoisoning2,Oh what a way to die...I just want to die...,,
SUBTITLE_FemaleFoodPoisoning3,My stomach...it hurts...oh it hurts...,,
SUBTITLE_FemaleHit1,[Pain grunt],,
SUBTITLE_FemaleHit2,[Pain grunt],,
SUBTITLE_FemaleHit3,[Pain grunt],,
SUBTITLE_FemaleHit4,[Pain grunt],,
SUBTITLE_FemaleHit5,[Pain grunt],,
SUBTITLE_FemaleInjuredHigh1,Holy...that...ahhhhhh...,,
SUBTITLE_FemaleInjuredHigh2,This is serious… right… okay.,,
SUBTITLE_FemaleInjuredHigh3,[Pain grunts],,
SUBTITLE_FemaleInjuredHigh4,[Pain grunts],,
SUBTITLE_FemaleInjuredHigh5,[Pain grunts],,
SUBTITLE_FemaleInjuredHigh6,[Pain grunts],,
SUBTITLE_FemaleInjuredLow1,Hurts a bit but I'll make it.,,
SUBTITLE_FemaleInjuredLow2,That smarts a bit.,,
SUBTITLE_FemaleInjuredLow3,[Pain grunts],,
SUBTITLE_FemaleInjuredLow4,[Pain grunts],,
SUBTITLE_FemaleInjuredLow5,[Pain grunts],,
SUBTITLE_FemaleInjuredLow6,[Pain grunts],,
SUBTITLE_FemaleInjuredLow7,"I'm going to need some first aid, soon. ",,
SUBTITLE_FemaleInjuredMedium1,Damn...that hurts.,,
SUBTITLE_FemaleInjuredMedium2,Wow...that hurts a lot.,,
SUBTITLE_FemaleInjuredMedium3,[Pain grunts],,
SUBTITLE_FemaleInjuredMedium4,[Pain grunts],,
SUBTITLE_FemaleInjuredMedium5,[Pain grunts],,
SUBTITLE_FemaleInjuredMedium6,[Pain grunts],,
SUBTITLE_FemaleInspectObject1,This stuff will come in handy.,,
SUBTITLE_FemaleInspectObject2,This'll come in handy.,,
SUBTITLE_FemaleInspectObject3,Best be prepared for anything.,,
SUBTITLE_FemaleInspectObject4,"Never know, could end up being useful.",,
SUBTITLE_FemaleInspectObject5,I think I can use this.,,
SUBTITLE_FemaleInspectObject6,Hmmm...ok.,,
SUBTITLE_FemaleInspectObject7,Probably useful.,,
SUBTITLE_FemaleInspectObject8,I'll take it.,,
SUBTITLE_FemaleLandHard1,[Hard grunt],,
SUBTITLE_FemaleLandHard2,[Hard grunt],,
SUBTITLE_FemaleLandHard3,[Hard grunt],,
SUBTITLE_FemaleLandHard4,[Hard grunt],,
SUBTITLE_FemaleLandLight1,[Light grunt],,
SUBTITLE_FemaleLandLight2,[Light grunt],,
SUBTITLE_FemaleLandLight3,[Light grunt],,
SUBTITLE_FemaleLandMedium1,[Medium grunt],,
SUBTITLE_FemaleLandMedium2,[Medium grunt],,
SUBTITLE_FemaleLandMedium3,[Medium grunt],,
SUBTITLE_FemaleLandMedium4,[Medium grunt],,
SUBTITLE_FemaleOpenContainer1,Never would have thought to look here.,,
SUBTITLE_FemaleOpenContainer10,Thank you!,,
SUBTITLE_FemaleOpenContainer11,Perfect!,,
SUBTITLE_FemaleOpenContainer2,What have we here?,,
SUBTITLE_FemaleOpenContainer3,Ahh...someone's stash.,,
SUBTITLE_FemaleOpenContainer4,Hope nobody needs this anymore.,,
SUBTITLE_FemaleOpenContainer5,I wonder who owns this stuff.,,
SUBTITLE_FemaleOpenContainer6,Wonder if the owner's around.,,
SUBTITLE_FemaleOpenContainer7,Looks like this has been here a while.,,
SUBTITLE_FemaleOpenContainer8,I could use this.,,
SUBTITLE_FemaleOpenContainer9,Oh lucky day.,,
SUBTITLE_FemaleTODDawn1,Looks like I made it through another night.,,
SUBTITLE_FemaleTODDawn2,Thank goodness...made it through another night.,,
SUBTITLE_FemaleTODDawn3,Looks like a new day is dawning.,,
SUBTITLE_FemaleTODDawn4,What do you know. Looks like I survived another night.,,
SUBTITLE_FemaleTODNight1,Feels like night is coming.,,
SUBTITLE_FemaleTODNight2,It's dusk so night can't be far behind.,,
SUBTITLE_FemaleTODNight3,It's getting dark out here. Time to look for shelter.,,
SUBTITLE_FemaleTODNight4,The sun is setting. It's going to get a lot colder soon.,,
GAMEPLAY_IceFishingHole,Trou Pêche sur Glace,,
GAMEPLAY_BreakIce,Briser la Glace,,
GAMEPLAY_BreakIceProgress,En Cours...,,
GAMEPLAY_IceFishing,Ice Fishing,,
GAMEPLAY_StartFishing,Start Fishing,,
GAMEPLAY_HoursToFish,Hours To Fish,,
GAMEPLAY_IceFishingHoleCleared,Trou Pêche sur Glace (Cleared),,
GAMEPLAY_NoFishingGear,Fishing Tackle is required for Ice Fishing.,,
GAMEPLAY_ClosedCaptioning,Closed Captioning,,
GAMEPLAY_FishingProgress,Pêche...,,
GAMEPLAY_Trunk,Malle,,
GAMEPLAY_Hood,Hood,,
GAMEPLAY_Visor,Visor,,
GAMEPLAY_GloveBox,Glove Box,,
GAMEPLAY_FuelCover,Fuel Cover,,
GAMEPLAY_Radio,Radio,,
GAMEPLAY_Hook,Hook,,
GAMEPLAY_Hooks,Hooks,,
GAMEPLAY_Line,Line,,
GAMEPLAY_Lines,Lines,,
GAMEPLAY_HookDescription,A basic hook suitable for fishing.,,
GAMEPLAY_LineDescription,A line suitable for fishing.,,
GAMEPLAY_RawCohoSalmon,Coho Salmon (Raw),,
GAMEPLAY_RawLakeWhiteFish,Lake Whitefish (Raw),,
GAMEPLAY_RawRainbowTrout,Rainbow Trout (Raw),,
GAMEPLAY_RawSmallMouthBass,Smallmouth Bass (Raw),,
GAMEPLAY_CookedCohoSalmon,Coho Salmon (Cooked),,
GAMEPLAY_CookedLakeWhiteFish,Lake Whitefish (Cooked),,
GAMEPLAY_CookedRainbowTrout,Rainbow Trout (Cooked),,
GAMEPLAY_CookedSmallMouthBass,Smallmouth Bass (Cooked),,
GAMEPLAY_RawCohoSalmonDescription,A formidable West Coast fish. Grows to a good size.,,
GAMEPLAY_RawLakeWhiteFishDescription,"A common freshwater fish. Small, but plentiful.",,
GAMEPLAY_RawRainbowTroutDescription,"A small saltwater fish, named for its irridescence.",,
GAMEPLAY_RawSmallMouthBassDescription,A hefty sized freshwater fish. Intolerant of polluted waters.,,
GAMEPLAY_CookedCohoSalmonDescription,"Salmon, cooked on a fire. One of life's better things.",,
GAMEPLAY_CookedLakeWhiteFishDescription,"Cooked whitefish. A bit tasteless, but better than nothing.",,
GAMEPLAY_CookedRainbowTroutDescription,A bit scorched but wonderful tasting.,,
GAMEPLAY_CookedSmallMouthBassDescription,A feast as good for the soul as for the stomach.,,
GAMEPLAY_FishingTackle,Fishing Tackle,,
GAMEPLAY_FishingTackleDescription,A hook and line used for catching fish.,,
GAMEPLAY_FishingLineSnapped,Fishing line snapped!,,
GAMEPLAY_WaterAddedToInventory,{qual-value} water ({quant-value}) added to inventory,,
GAMEPLAY_SymptomConditionDrain,Condition Drain,,
GAMEPLAY_SymptomDehydration,Dehydration,,
GAMEPLAY_SymptomFatigue,Fatigue,,
GAMEPLAY_SymptomMaxConditionReduced,Reduced Condition Threshold,,
GAMEPLAY_SymptomMobilityReduced,Reduced Mobility,,
GAMEPLAY_ItemsNeeded,Items Needed,,
GAMEPLAY_RestRemaining,Rest Remaining,,
GAMEPLAY_EnterVehicle,Enter Vehicle,,
GAMEPLAY_ExitVehicle,Exit Vehicle,,
GAMEPLAY_Healthy,Healthy,,
GAMEPLAY_NoAfflictions,No Afflictions,,
GAMEPLAY_Bandages,Bandages,,
GAMEPLAY_Cancelled,Cancelled,,
